               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12501,            0.069176,            0.034691,            0.001741,            0.087974,            0.001502,          0.00037398,            0.095043,            0.026341,            0.021685,            0.070189,           0.0033124,           0.0033124
                   1,            0.099833,            0.051351,            0.022388,             0.69207,            0.076503,            0.015085,           0.0039151,            0.083268,            0.029095,             0.01819,            0.040167,           0.0066238,           0.0066238
                   2,            0.094791,            0.050927,            0.020779,             0.70015,            0.033698,            0.013606,           0.0047446,            0.079786,            0.026552,            0.019168,            0.010123,           0.0099132,           0.0099132
                   3,            0.083097,            0.051049,            0.018897,             0.35134,             0.09745,            0.013173,           0.0036518,            0.070521,            0.031069,            0.019374,            0.009901,            0.009901,            0.009901
                   4,            0.078342,            0.052978,            0.017427,            0.067169,             0.27875,            0.045423,            0.012796,            0.063219,            0.033349,            0.017673,            0.009901,            0.009901,            0.009901
                   5,            0.071711,            0.060719,            0.015529,             0.12359,             0.24549,            0.069812,            0.021082,            0.058334,            0.033837,            0.013364,            0.009868,            0.009868,            0.009868
                   6,            0.065889,            0.057684,            0.012394,             0.12649,             0.31233,            0.078995,             0.03086,             0.05376,            0.034583,            0.010732,            0.009835,            0.009835,            0.009835
                   7,            0.062001,            0.059132,            0.011017,             0.13794,             0.35024,             0.10433,            0.030325,            0.053439,            0.038201,            0.010279,            0.009802,            0.009802,            0.009802
                   8,            0.062866,             0.05706,            0.010776,             0.15576,             0.39079,             0.11891,             0.03573,              0.0503,            0.035919,           0.0086787,            0.009769,            0.009769,            0.009769
                   9,            0.059115,             0.06015,           0.0093988,             0.17976,             0.41608,               0.145,            0.056028,            0.045621,            0.037527,           0.0087261,            0.009736,            0.009736,            0.009736
                  10,            0.055494,            0.058814,           0.0094137,             0.17927,             0.45627,             0.15901,            0.066791,            0.044264,             0.04013,           0.0077119,            0.009703,            0.009703,            0.009703
                  11,            0.058135,            0.057156,           0.0091211,             0.15179,             0.38803,             0.11458,            0.037047,            0.053311,            0.037311,           0.0086893,             0.00967,             0.00967,             0.00967
                  12,            0.056414,            0.061302,           0.0083428,             0.19354,             0.45124,             0.15747,            0.061568,            0.042659,            0.040344,           0.0071643,            0.009637,            0.009637,            0.009637
                  13,            0.053207,            0.055547,           0.0078343,             0.17832,             0.46798,             0.15647,            0.064634,            0.044439,            0.037988,           0.0070446,            0.009604,            0.009604,            0.009604
                  14,            0.052064,             0.06489,           0.0082755,             0.21353,             0.45195,             0.15821,            0.058928,            0.042428,            0.038222,           0.0076652,            0.009571,            0.009571,            0.009571
                  15,            0.052902,            0.059395,           0.0072146,                0.21,             0.47801,             0.17155,            0.081158,            0.038597,            0.038384,           0.0066885,            0.009538,            0.009538,            0.009538
                  16,            0.052064,            0.060825,           0.0070613,             0.20203,             0.46382,             0.15901,            0.060052,              0.0419,            0.039554,           0.0064283,            0.009505,            0.009505,            0.009505
                  17,            0.050149,            0.058559,           0.0077045,             0.21303,             0.45751,             0.16042,            0.067909,            0.037556,            0.040069,           0.0061991,            0.009472,            0.009472,            0.009472
